CK+,num1,JAFFE,num2,KDEF,num3,Radf,num4,FER,num5,raf_db,num6,lambda1,beta,mu,maxiter
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.010000,2.000000,20
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.010000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.010000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.010000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.010000,20
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.030000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.030000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.030000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.030000,20
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.050000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.050000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.050000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.050000,20
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.070000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.070000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.070000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,1.070000,20
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,2.000000,5
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,2.000000,10
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,2.000000,15
0.7895,211,0.5117,145,0.7061,178,0.7264,241,0.7258,23,0.6425,187,100,0.100000,2.000000,20
0.7855,87,0.5211,8,0.7122,45,0.7299,93,0.7256,14,0.6378,176,100,1.000000,1.010000,5
